Date,Open,High,Low,Close,Adj Close,Volume
2015-07-01,57.090000,58.770000,55.080002,57.869999,48.733082,300870000
2015-08-01,58.070000,58.160000,47.750000,54.029999,45.499367,439060600
2015-09-01,52.110001,53.910000,49.799999,51.349998,43.524792,409157600
2015-10-01,51.509998,55.570000,49.509998,54.139999,45.889622,353524000
2015-11-01,54.209999,56.340000,54.130001,55.099998,46.703323,268235700
2015-12-01,55.509998,56.240002,52.750000,54.360001,46.392815,340655400
2016-01-01,53.090000,53.270000,46.880001,50.230000,42.868118,472033500
2016-02-01,50.119999,50.180000,44.500000,46.919998,40.043247,473024200
2016-03-01,47.139999,50.750000,47.139999,48.360001,41.591610,395938300
2016-04-01,48.230000,51.410000,46.619999,49.980000,42.984871,376851000
2016-05-01,50.279999,51.189999,47.549999,50.720001,43.621304,363734500
2016-06-01,50.259998,51.110001,44.500000,47.330002,41.017490,460863700
2016-07-01,47.080002,49.150002,45.700001,47.970001,41.572144,353764100
2016-08-01,47.980000,50.919998,47.330002,50.799999,44.024696,356092400
2016-09-01,50.919998,51.000000,44.099998,44.279999,38.682442,760596400
2016-10-01,44.119999,46.810001,43.549999,46.009998,40.193745,586021900
2016-11-01,46.119999,54.060001,44.490002,52.919998,46.230240,672239000
2016-12-01,53.130001,58.020000,53.060001,55.110001,48.544498,514610900
2017-01-01,55.669998,57.330002,53.340000,56.330002,49.619156,433876600
2017-02-01,56.540001,59.009998,55.169998,57.880001,50.984505,302405300
2017-03-01,59.110001,59.990002,54.240002,55.660000,49.361973,395621300
2017-04-01,55.700001,56.200001,51.259998,53.840000,47.747906,413088700
2017-05-01,54.099998,55.599998,50.830002,51.139999,45.353420,397353300
2017-06-01,51.529999,56.599998,51.060001,55.410000,49.485039,407671900
2017-07-01,55.810001,56.450001,53.180000,53.939999,48.172226,323918200
2017-08-01,54.230000,54.389999,50.869999,51.070000,45.609116,394552400
2017-09-01,51.060001,55.230000,49.270000,55.150002,49.610611,375336300
2017-10-01,55.160000,56.520000,52.840000,56.139999,50.501175,375160400
2017-11-01,56.320000,57.330002,53.209999,56.470001,50.798031,368177900
2017-12-01,56.570000,62.240002,55.439999,60.669998,54.957481,422124100
2018-01-01,61.040001,66.309998,60.700001,65.779999,59.586338,362611700
2018-02-01,65.370003,66.089996,54.720001,58.410000,52.910271,601421000
2018-03-01,58.250000,58.939999,50.689999,52.410000,47.758369,463858700
2018-04-01,52.369999,53.959999,50.259998,51.959999,47.348309,435118800
2018-05-01,51.759998,56.180000,50.810001,53.990002,49.198143,402405200
2018-06-01,54.560001,57.119999,53.020000,55.439999,50.899803,387613300
2018-07-01,55.200001,59.270000,53.630001,57.290001,52.598301,413772800
2018-08-01,57.959999,59.529999,57.080002,58.480000,53.690849,374293600
2018-09-01,58.450001,59.200001,52.410000,52.560001,48.608791,406124000
2018-10-01,52.740002,55.009998,50.020000,53.230000,49.228424,546018500
2018-11-01,53.430000,54.630001,51.160000,54.279999,50.199490,419240800
2018-12-01,54.779999,55.040001,43.020000,46.080002,42.960701,597259600
2019-01-01,45.529999,50.540001,45.410000,48.910000,45.599129,470423300
2019-02-01,49.000000,50.230000,47.060001,49.889999,46.934441,331490100
2019-03-01,50.230000,52.419998,47.799999,48.320000,45.457451,463436000
2019-04-01,48.430000,49.680000,45.660000,48.410000,45.542122,556953700
2019-05-01,48.320000,48.849998,44.220001,44.369999,41.741455,413827600
2019-06-01,44.240002,47.700001,44.200001,47.320000,44.947037,382929700
2019-07-01,47.880001,49.570000,45.139999,48.410000,45.982380,411693100
2019-08-01,48.410000,48.639999,43.340000,46.570000,44.234646,423960000
2019-09-01,46.310001,51.410000,45.480000,50.439999,48.449970,468177600
2019-10-01,50.650002,52.360001,47.320000,51.630001,49.593021,463966700
2019-11-01,52.130001,54.750000,51.910000,54.459999,52.311367,328834800
2019-12-01,54.310001,54.560001,52.169998,53.799999,52.171978,390643100
2020-01-01,53.849998,54.040001,46.740002,46.939999,45.519562,484374600
2020-02-01,47.240002,48.500000,39.750000,40.849998,39.613850,428718600
2020-03-01,40.980000,42.900002,25.110001,28.700001,28.128466,1116095800
2020-04-01,27.020000,33.910000,25.910000,29.049999,28.471495,868179300
2020-05-01,28.500000,28.530001,22.000000,26.469999,25.942873,1055539700
2020-06-01,26.610001,33.889999,26.370001,27.969999,27.969999,623079700
2020-06-15,26.860001,28.385000,26.559999,28.209999,28.209999,47336225
